docID,ORSCORE,OVERT_RATE,country,orality
dr16ent,0.68,0.107692308,DR,HIGH
dr16sdj,0.05,0.011363636,DR,LOW
dr17dphj,0.3,0.033333333,DR,MID
dr18livie,0.17,0.057142857,DR,LOW
dr18asd,0.68,0.254237288,DR,HIGH
dr19gal,0.6,0.083333333,DR,HIGH
dr19ald,0.26,0.074468085,DR,MID
pa16hgni,0.6,0.146853147,Panama,HIGH
pa16car,0.71,0.140495868,Panama,HIGH
pa17lldp,0.15,0.0125,Panama,LOW
pa17dlyd,0.44,0.028571429,Panama,MID
pa19hs,0.27,0.190789474,Panama,MID
pa19mpe,0.55,0.068181818,Panama,HIGH
bo16rvp,0.14,0.11627907,Bolivia,LOW
bo18hvip,0.08,0.046511628,Bolivia,LOW
bo21iia,1.77,0.241573034,Bolivia,HUGE
bo19jdlr,0.41,0.129411765,Bolivia,MID
bo19adla,0.42,0.103896104,Bolivia,MID
sp16lah,0.35,0,Spain,MID
sp16can,0.62,0.044117647,Spain,HIGH
sp17dq,0.44,0.170103093,Spain,MID
sp17acra,0.17,0,Spain,LOW
sp18arjd,0.61,0.038216561,Spain,HIGH
sp18eau,0.74,0.1,Spain,HIGH
sp19cpc,2.35,0.224376731,Spain,HUGE
sp19qdev,0.13,0.136363636,Spain,LOW
co16evii,0.09,0.098684211,Colombia,LOW
co16oyc,0.2,0.029850746,Colombia,LOW
co17vdm,0.14,0.088353414,Colombia,LOW
co17gnrg,0.04,0,Colombia,LOW
co18ppym,0.34,0.022727273,Colombia,MID
co18gsfb,0.11,0,Colombia,LOW
co19ihdc,0.25,0.105263158,Colombia,MID
co19syl,0.61,0.176470588,Colombia,HIGH
CPMTpr,0.67,0.304347826,Colombia,HIGH
CPMTpl,0.75,0.102941176,Colombia,HIGH
CPMTpoOG,1.08,0.169934641,Colombia,HUGE
CPMTpoSP,1.08,0.169934641,Colombia,HUGE
